#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ThiesDiscoINDELs" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoINDELs">
#                    <trait id="dateTrait.t:ThiesDiscoINDELs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoINDELs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoINDELs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoINDELs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoINDELs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:ThiesDiscoINDELs" name="distribution" x="@popSize.t:ThiesDiscoINDELs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoINDELs" id="treeLikelihood.ThiesDiscoINDELs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoINDELs">
#            <siteModel id="SiteModel.s:ThiesDiscoINDELs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoINDELs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoINDELs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoINDELs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoINDELs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoINDELs" id="StrictClock.c:ThiesDiscoINDELs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	clockRate	popSize	CoalescentConstant.
40000	-9185.169017031354	-9114.689305916212	-70.47971111514143	-9114.689305916212	252.6732250044961	1.0	3.897102690610222E-4	371.5855311928104	-64.56193204546999
41000	-9205.355219605673	-9116.501351423576	-88.85386818209663	-9116.501351423576	1635.1922593136767	1.0	6.082107859142975E-5	2919.661959766432	-80.87464506073913
42000	-9204.092140819703	-9116.248159839972	-87.8439809797303	-9116.248159839972	1414.961814807839	1.0	6.9836715372815E-5	2456.2796867076204	-80.03757781799438
43000	-9215.166948288539	-9120.5171065109	-94.64984177763921	-9120.5171065109	3034.0488980854852	1.0	3.5545176864504385E-5	6066.9275116600165	-85.93923419773928
44000	-9199.765287657408	-9112.488957449963	-87.276330207446	-9112.488957449963	1253.0673593901945	1.0	8.008444456147593E-5	2993.0064235250866	-79.27229655341282
45000	-9200.10082923532	-9115.52595597474	-84.57487326057986	-9115.52595597474	1041.0188309918642	1.0	9.756075476457681E-5	1454.5161979513064	-77.29244464626709
46000	-9195.683567876024	-9118.217041502165	-77.46652637385934	-9118.217041502165	501.6679418187934	1.0	2.0061273063658793E-4	1220.3363012820198	-70.35964461732985
47000	-9200.317646237083	-9120.934912499417	-79.38273373766631	-9120.934912499417	641.5321474177546	1.0	1.6367489818982657E-4	764.2974176381399	-72.74377673415125
48000	-9200.490277806144	-9116.716061316913	-83.77421648923082	-9116.716061316913	932.2084258440046	1.0	1.0776321264461587E-4	1405.0590308318049	-76.52638189351867
49000	-9198.221064904874	-9113.218893465917	-85.00217143895692	-9113.218893465917	929.5488234810176	1.0	1.0542021660797325E-4	2883.0845450897946	-77.03555541636182
50000	-9184.410459760064	-9118.24778511947	-66.1626746405928	-9118.24778511947	166.5631941012378	1.0	6.021283358089844E-4	254.36340863604576	-60.62391065344974
51000	-9216.238390075634	-9118.40841515284	-97.82997492279274	-9118.40841515284	3753.2748272040326	1.0	2.511006724248392E-5	7120.955105153233	-88.95917778340103
52000	-9199.490250624227	-9121.047192241822	-78.44305838240419	-9121.047192241822	482.4935543180148	1.0	2.0811730230115336E-4	490.68992251817946	-72.24724597647014
53000	-9189.478316551076	-9115.017615267929	-74.46070128314754	-9115.017615267929	356.3556795603393	1.0	2.745810057049506E-4	803.4555957326863	-67.77177936305314
54000	-9201.402896917632	-9120.108416057206	-81.29448086042561	-9120.108416057206	661.2419688509538	1.0	1.4944797405903743E-4	787.1653188309506	-74.62604257202119
55000	-9207.28073004229	-9112.430983559892	-94.8497464823973	-9112.430983559892	2721.706075045597	1.0	3.4406345291186074E-5	5802.7861162887475	-86.18365303632369
56000	-9211.158609901524	-9113.76346265509	-97.39514724643475	-9113.76346265509	3535.616234375925	1.0	2.6939186206490752E-5	5116.882627963433	-88.85484657555865
57000	-9212.909053398482	-9117.149313784728	-95.75973961375348	-9117.149313784728	3114.737106628976	1.0	3.2010704117276454E-5	5512.802178426609	-87.14491127855264
58000	-9214.386903022916	-9113.98379418678	-100.40310883613442	-9113.98379418678	2372.1506784555095	1.0	4.0307819606171776E-5	18471.394658593355	-90.57913025639316
59000	-9204.76228570566	-9112.534324252387	-92.22796145327322	-9112.534324252387	2223.7100472992865	1.0	4.534453656115448E-5	3365.095301523263	-84.1067498901918
60000	-9205.982369018882	-9117.996533087417	-87.98583593146547	-9117.996533087417	1168.453453177729	1.0	8.060419298712916E-5	3916.6841722555223	-79.71283523105922
61000	-9200.715154025234	-9122.680309789594	-78.03484423564169	-9122.680309789594	505.07153340308736	1.0	1.8375061021616622E-4	1082.1287030851524	-71.04815883406225
62000	-9193.51762857261	-9117.309104224192	-76.2085243484181	-9117.309104224192	396.81384368804953	1.0	2.4944805989105445E-4	1161.0269562006365	-69.15146414890134
63000	-9210.674111488604	-9115.729387226897	-94.94472426170834	-9115.729387226897	2976.4551029641066	1.0	3.224207830683377E-5	4475.5752517251785	-86.53833409138942
64000	-9204.00995134744	-9118.415258079709	-85.59469326773146	-9118.415258079709	1140.5994884455613	1.0	8.46494682265446E-5	2191.7303078503896	-77.90224666197273
65000	-9198.19449514845	-9113.858648544838	-84.33584660361201	-9113.858648544838	950.4595220614489	1.0	1.0651882151566345E-4	2194.503105820495	-76.64213567920994
66000	-9189.202782417262	-9117.18335293601	-72.01942948125169	-9117.18335293601	282.0783109205711	1.0	3.493332946447815E-4	338.0029250036383	-66.1963749319492
67000	-9199.654155655318	-9117.001878370109	-82.65227728520999	-9117.001878370109	854.6022580678672	1.0	1.1761348388283685E-4	1207.94729586121	-75.55559953692098
68000	-9207.251249524785	-9121.102905733962	-86.14834379082218	-9121.102905733962	1132.8072399284283	1.0	8.968879750123652E-5	2680.618706058211	-78.25454088349197
69000	-9195.856954021086	-9120.309037594914	-75.54791642617276	-9120.309037594914	411.17400791497016	1.0	2.5016031253775666E-4	638.7923803038417	-69.08833693804355
70000	-9198.516363393936	-9121.326368196438	-77.18999519749673	-9121.326368196438	480.90995430550794	1.0	2.0707739313481822E-4	742.5544916498201	-70.57989894008537
71000	-9190.868072818006	-9117.598107910848	-73.26996490715905	-9117.598107910848	278.1511081955511	1.0	3.460120840972087E-4	885.2613697446259	-66.48408197270857
72000	-9197.632044515887	-9119.986332047993	-77.64571246789514	-9119.986332047993	521.8571661883833	1.0	2.0062862833889516E-4	750.2531053361708	-71.02530184451469
73000	-9205.575260318512	-9116.410044892184	-89.16521542632884	-9116.410044892184	1612.2903221691488	1.0	6.0949725036991445E-5	2937.545200348556	-81.17988588064212
74000	-9207.859253062818	-9115.515058502771	-92.3441945600457	-9115.515058502771	1924.0443864281835	1.0	5.071855792875559E-5	2058.5502465832406	-84.7144373098146
75000	-9184.876555858657	-9118.199266373114	-66.67728948554279	-9118.199266373114	181.86349360109898	1.0	5.574850579473525E-4	295.8542932747835	-60.987422404864795
76000	-9191.378991272295	-9118.318638334624	-73.06035293767121	-9118.318638334624	318.89807348325076	1.0	3.149482989332896E-4	440.4483750383513	-66.97255969544369
77000	-9191.450065549114	-9116.32411404725	-75.12595150186475	-9116.32411404725	391.2340556905596	1.0	2.7136387049368185E-4	879.6417769613695	-68.34643674890346
78000	-9202.819092872413	-9119.15728321535	-83.66180965706273	-9119.15728321535	919.8311415880013	1.0	1.0324949242330035E-4	1597.4800114849545	-76.2856269832618
79000	-9199.756196969545	-9114.089785748052	-85.66641122149262	-9114.089785748052	1074.7217093335407	1.0	8.941547294013231E-5	1398.1909848609205	-78.42347669511045
80000	-9195.734203399172	-9122.6975021734	-73.03670122577243	-9122.6975021734	313.0026372973899	1.0	3.294160463717215E-4	648.5619941368043	-66.56194363038325
81000	-9202.253794514678	-9115.114156087202	-87.139638427475	-9115.114156087202	1346.2901852191994	1.0	7.644801619749147E-5	2533.311978045458	-79.30235561962313
82000	-9203.748650406511	-9112.584980290007	-91.16367011650428	-9112.584980290007	1888.4900276674273	1.0	5.208161992333366E-5	3908.540512430666	-82.89275080368573
83000	-9217.497308335362	-9116.930644684626	-100.56666365073558	-9116.930644684626	4650.3107496643115	1.0	2.189062185968104E-5	11180.306581586245	-91.24475448207812
84000	-9195.167654300349	-9114.929947243958	-80.23770705639079	-9114.929947243958	527.84828735092	1.0	1.7900515968975722E-4	1860.4799085526718	-72.70911730761289
85000	-9201.576773451348	-9114.306093564048	-87.27067988730009	-9114.306093564048	1398.9039471408942	1.0	7.158286903099238E-5	2397.268462407687	-79.48859465980146
