#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@popSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	popSize	CoalescentConstant.
39000	-11130.016577356253	-11052.7599029598	-77.2566743964531	-11052.7599029598	340.29061467169174	4.1498688321643884E-4	1.0	1218.8816235138197	-70.15098538119193
40000	-11132.423381967306	-11044.171138242495	-88.25224372481148	-11044.171138242495	957.4578446351792	1.5293108850261358E-4	1.0	4041.792280995262	-79.947800218323
41000	-11145.212664162007	-11052.641601083584	-92.57106307842285	-11052.641601083584	1446.8956566127245	9.448017905631427E-5	1.0	5277.1573324016745	-83.99992023071809
42000	-11132.02408374113	-11049.2055152305	-82.8185685106292	-11049.2055152305	500.04224778430086	2.9951491058653214E-4	1.0	513.1929002709918	-76.57791671221766
43000	-11137.906676753322	-11048.420219793474	-89.48645695984912	-11048.420219793474	1185.0645712335322	1.1960981584671524E-4	1.0	3586.0612074814585	-81.3016472373742
44000	-11138.153095867834	-11053.869640974886	-84.28345489294743	-11053.869640974886	778.274335576345	1.8901251896939172E-4	1.0	2077.288642583591	-76.64463610781519
45000	-11139.13886320946	-11048.694727979335	-90.44413523012625	-11048.694727979335	1482.8434078026721	1.0343773172402797E-4	1.0	3221.5962093814264	-82.36650299721578
46000	-11143.656775220548	-11046.927650251513	-96.72912496903565	-11046.927650251513	2076.2859972630836	6.976902523763645E-5	1.0	10453.619095512333	-87.47442144666992
47000	-11150.594820161825	-11050.88331482569	-99.71150533613364	-11050.88331482569	3473.2800438806753	3.828593709611756E-5	1.0	8173.773331069814	-90.70281940287228
48000	-11135.659928083958	-11048.598874074705	-87.06105400925293	-11048.598874074705	1057.8833558676665	1.3720301090851543E-4	1.0	1856.195402165969	-79.53476982010905
49000	-11140.420183779539	-11047.566735627266	-92.85344815227353	-11047.566735627266	1683.4140369681297	9.076779065762251E-5	1.0	2311.935819262965	-85.10760768270093
50000	-11137.861235069151	-11048.920719270445	-88.94051579870545	-11048.920719270445	1028.5358692564796	1.3595363509607135E-4	1.0	4147.983168091639	-80.61013828720138
51000	-11152.998443319542	-11046.907910019807	-106.09053329973547	-11046.907910019807	6482.910722704779	2.2727507992244493E-5	1.0	22585.899609793745	-96.06545222025967
52000	-11151.70822719698	-11045.722212706203	-105.98601449077543	-11045.722212706203	6312.378253919021	2.238916358313918E-5	1.0	19731.16964576289	-96.09605961091262
53000	-11144.415459076394	-11045.714149440113	-98.70130963628046	-11045.714149440113	2561.746020916359	5.150184127381193E-5	1.0	10631.32176276169	-89.42974982998749
54000	-11132.788287928082	-11047.545451726244	-85.24283620183871	-11047.545451726244	787.1942028119774	1.8952887800600664E-4	1.0	2699.937703807657	-77.3418522227763
55000	-11128.563848930198	-11047.583292110685	-80.98055681951247	-11047.583292110685	530.7927485871386	2.747676139415486E-4	1.0	1530.499262101749	-73.647207543256
56000	-11144.713382019172	-11051.243451687908	-93.46993033126486	-11051.243451687908	1705.897381495738	8.990852154281673E-5	1.0	7194.980010936678	-84.58879149013535
57000	-11127.634534783365	-11053.918286850698	-73.71624793266628	-11053.918286850698	237.8247105342503	5.614740506942099E-4	1.0	483.2522897712559	-67.53570907631435
58000	-11124.371210161788	-11050.188547344376	-74.18266281741211	-11050.188547344376	307.30554068884925	4.949272487679481E-4	1.0	552.0682663474178	-67.8689911078624
59000	-11129.573219557506	-11048.788460297083	-80.78475926042252	-11048.788460297083	543.130674935949	2.7462659021969905E-4	1.0	1553.8808844273126	-73.43624838338043
60000	-11137.026693217687	-11049.037299646709	-87.98939357097798	-11049.037299646709	840.5971102330834	1.7594954280059622E-4	1.0	4377.910820188911	-79.60506666309148
61000	-11137.53817251439	-11047.735782882753	-89.80238963163663	-11047.735782882753	1242.1761943837112	1.1233031918307564E-4	1.0	3423.00033137144	-81.66411689629913
62000	-11141.74953057962	-11046.410067698303	-95.33946288131618	-11046.410067698303	2224.7778818107336	6.404274323090718E-5	1.0	4426.749718101177	-86.94404198551062
63000	-11143.005161789679	-11046.939418841828	-96.06574294785027	-11046.939418841828	2119.927728623982	6.435420602186613E-5	1.0	7792.996342555579	-87.10476224333114
64000	-11137.45514905581	-11047.620532096855	-89.8346169589551	-11047.620532096855	1286.9508698100312	1.1011708355947583E-4	1.0	2170.3594540233457	-82.15196887912317
65000	-11137.563175275205	-11043.745607359746	-93.81756791545926	-11043.745607359746	1837.9742565528977	7.636851257313016E-5	1.0	5901.624866698844	-85.134584922346
66000	-11137.766699848871	-11045.17727664549	-92.58942320337995	-11045.17727664549	1786.2684723932862	8.288652459064977E-5	1.0	3923.601355898063	-84.31465797911486
67000	-11143.464778143893	-11051.17943202023	-92.28534612366285	-11051.17943202023	1626.4674514641188	8.886121027864609E-5	1.0	3764.455777431601	-84.05198754170382
68000	-11142.616403152428	-11048.5228106091	-94.09359254332838	-11048.5228106091	1911.1183633147625	7.612391471578592E-5	1.0	6443.586209558139	-85.32275201438345
69000	-11147.829481443276	-11048.318804232209	-99.51067721106743	-11048.318804232209	3238.72814095198	4.497816511909994E-5	1.0	10998.801496385322	-90.205135620097
70000	-11137.030746177996	-11046.042185549355	-90.98856062864002	-11046.042185549355	1484.6731354411143	9.817590691468197E-5	1.0	3712.4060161942375	-82.76912516135275
71000	-11136.07952932855	-11048.709464066302	-87.37006526224859	-11048.709464066302	1033.916953809917	1.3326853574015908E-4	1.0	2344.905144295225	-79.61006503238028
72000	-11152.049406773549	-11052.707167159115	-99.34223961443341	-11052.707167159115	3606.364085646209	3.938899241305533E-5	1.0	7988.261120104301	-90.35651123138537
73000	-11139.121769557334	-11049.218321110626	-89.90344844670865	-11049.218321110626	1410.5517600688233	1.0379240182141181E-4	1.0	2531.8763050805373	-82.06673251729173
74000	-11132.528785835995	-11051.015545768443	-81.51324006755218	-11051.015545768443	610.0327530286421	2.49653901725482E-4	1.0	1730.9846291540382	-74.05679439216465
75000	-11139.033758191234	-11050.70946612729	-88.32429206394468	-11050.70946612729	1159.8750034235668	1.3048240546796749E-4	1.0	2184.6767997937714	-80.63506888507041
76000	-11134.648274187872	-11045.634265097748	-89.01400909012435	-11045.634265097748	1191.3042377980514	1.2041071653359234E-4	1.0	2643.750883327256	-81.13405511321076
77000	-11135.88047655322	-11047.940142176176	-87.94033437704526	-11047.940142176176	988.1132713199316	1.4437608327787533E-4	1.0	3397.6847493916002	-79.80948485445819
78000	-11137.05873423924	-11047.426583924038	-89.63215031520106	-11047.426583924038	1379.6460155248485	1.149709180253679E-4	1.0	3290.0962422101497	-81.53347821891809
79000	-11141.192996113297	-11051.50342663009	-89.68956948320653	-11051.50342663009	1231.626243161312	1.1367963029389034E-4	1.0	3425.477233450575	-81.55057340398312
80000	-11140.657241848841	-11045.460397003948	-95.19684484489359	-11045.460397003948	2238.5919055507793	6.246011835809325E-5	1.0	4397.593733205937	-86.80803205339683
81000	-11133.717769722258	-11047.420836535142	-86.29693318711458	-11047.420836535142	812.2200307005405	1.758810001057768E-4	1.0	3098.394264506076	-78.25829391003049
82000	-11141.371651281517	-11053.925306640234	-87.4463446412835	-11053.925306640234	826.8568636555891	1.60874210902539E-4	1.0	3681.0659474050094	-79.23538699244284
83000	-11136.22494572231	-11047.289145827455	-88.93579989485367	-11047.289145827455	1108.8482838507264	1.2806580625105167E-4	1.0	1422.1448971303664	-81.67587839296546
84000	-11164.677530833793	-11049.913975557396	-114.76355527639731	-11049.913975557396	14455.591158556994	9.07901801010222E-6	1.0	27670.863625645627	-104.53541999247906
85000	-11147.710946320449	-11048.02606362374	-99.6848826967081	-11048.02606362374	3277.214775978353	4.184514194759905E-5	1.0	8183.724144463726	-90.67498009633293
86000	-11161.04009088314	-11054.996174148597	-106.04391673454299	-11054.996174148597	5469.394798536723	2.234681121865827E-5	1.0	19837.577145133804	-96.14858348086226
87000	-11153.280247725343	-11047.464744980443	-105.81550274489868	-11047.464744980443	5866.317713421558	2.423136549193415E-5	1.0	8380.829271632498	-96.78180059788991
