#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoSNPs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@ePopSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoSNPs" name="distribution" x="@growthRate.t:ThiesDiscoSNPs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	CoalescentExponential	ePopSize	growthRate.
38000	-11137.08625336446	-11044.871963371543	-92.21428999291713	-11044.871963371543	2072.4760050500618	7.063963058296953E-5	1.0	-78.14040423138754	21086.767088600544	0.002166208799098346
39000	-11141.132703849866	-11045.271339257866	-95.86136459199948	-11045.271339257866	2549.2472058327544	5.8659143852004705E-5	1.0	-80.15361532459794	108040.82850665458	0.002166208799098346
40000	-11145.634022412953	-11049.013202133401	-96.62082027955235	-11049.013202133401	2789.4014944600895	5.0807149728703065E-5	1.0	-80.54967442317975	155384.98107498034	0.002166208799098346
41000	-11145.81400454683	-11050.839990903343	-94.97401364348751	-11050.839990903343	2782.6780866185495	4.9627119767358206E-5	1.0	-79.4889290304572	86474.06505622936	0.002166208799098346
42000	-11145.209676799657	-11045.535237945542	-99.67443885411572	-11045.535237945542	3070.0104856325506	4.414030334559067E-5	1.0	-82.65544567568055	400916.4728374969	0.002166208799098346
43000	-11138.274865730229	-11045.686330453882	-92.58853527634676	-11045.686330453882	2056.2052777814247	6.971448374691379E-5	1.0	-77.99690525450954	35388.60769599616	0.002166208799098346
44000	-11146.583414007531	-11047.516331550913	-99.0670824566183	-11047.516331550913	3050.257997692732	4.695939016983275E-5	1.0	-82.4839933959817	259264.55562086383	0.002166208799098346
45000	-11141.283969659153	-11045.55596161502	-95.72800804413326	-11045.55596161502	2499.440714122015	6.0642725021774754E-5	1.0	-80.05042247618682	104830.57735209695	0.002166208799098346
46000	-11137.980046034672	-11045.04457036324	-92.93547567143305	-11045.04457036324	2250.8744381471847	6.471219127834863E-5	1.0	-78.14675453166424	43098.19296997197	0.002166208799098346
47000	-11145.647222005091	-11046.269587104778	-99.37763490031263	-11046.269587104778	3025.386392693413	4.5530734751510054E-5	1.0	-82.60679292308569	312811.8548963858	0.002166208799098346
48000	-11145.40104498457	-11048.009852912466	-97.39119207210395	-11048.009852912466	2760.453814480131	5.4426450526483636E-5	1.0	-80.8545951453173	247483.69673750008	0.002539188488540317
49000	-11142.950633794522	-11048.12199545518	-94.82863833934212	-11048.12199545518	2154.668641863149	6.384218126787666E-5	1.0	-79.29383657105122	90880.8719616902	0.002539188488540317
50000	-11141.606528036025	-11045.24812857764	-96.35839945838558	-11045.24812857764	2583.535325593312	5.4555492639412806E-5	1.0	-80.63696619364504	109528.08999852357	0.002539188488540317
51000	-11141.824048868748	-11049.407253218398	-92.41679565034903	-11049.407253218398	2141.8971421015194	6.933394018243735E-5	1.0	-77.45552397321983	51214.33423624073	0.002539188488540317
52000	-11139.853093927295	-11047.274917902389	-92.57817602490569	-11047.274917902389	2175.8035767636948	6.860903556504385E-5	1.0	-77.40403528043632	63363.53420835729	0.002539188488540317
53000	-11137.975474571796	-11045.613400562088	-92.36207400970798	-11045.613400562088	1981.7339842470633	6.730637304683887E-5	1.0	-77.3449457575985	54156.39332353562	0.002539188488540317
54000	-11140.691657050806	-11048.471785675403	-92.21987137540229	-11048.471785675403	1948.502874231545	7.16356393348358E-5	1.0	-77.27862108738857	50199.1487457788	0.002539188488540317
55000	-11139.166137550736	-11047.780708290142	-91.38542926059391	-11047.780708290142	1820.5904341448154	8.389488297782814E-5	1.0	-76.78111290696573	35839.98375753947	0.002539188488540317
56000	-11143.05256275125	-11047.853217718368	-95.19934503288228	-11047.853217718368	2017.7046603659032	6.983270394008825E-5	1.0	-79.53355167190061	103600.3949696475	0.002539188488540317
