# BEAST v1.8.3
# Generated Mon Apr 25 19:05:58 EDT 2016 [seed=1461625546558]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
30000	-13996.820716867016	-4.640344261588645	-13992.180372605428	20.954164343366934	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.371090070449496E-5	4.3710900704494956E-5	-13992.180372605428	0.0	-6.790198927424603
31000	-13999.126431400155	-5.886187179943194	-13993.240244220211	31.939184292084775	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.7930024731124157E-5	2.793002473112416E-5	-13993.240244220211	0.0	-8.49179158711549
32000	-13997.676706843547	-5.816135840649426	-13991.860571002899	34.286693402753556	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4922166827248248E-5	1.4922166827248251E-5	-13991.860571002899	0.0	-8.771216091544135
33000	-13995.18001073908	-3.955645314908529	-13991.224365424172	13.261111178904471	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.613564267393036E-5	3.613564267393036E-5	-13991.224365424172	0.0	-5.971227807815296
34000	-13996.222854344125	-3.760540116101497	-13992.462314228023	8.192587416840546	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.3970555868375866E-5	4.3970555868375866E-5	-13992.462314228023	0.0	-5.4353551359885675
35000	-13995.161438538282	-4.2699470148185625	-13990.891491523464	17.784421294757585	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.5092499466659494E-5	3.50924994666595E-5	-13990.891491523464	0.0	-6.4473328986216965
36000	-13996.848923320102	-5.327453010659291	-13991.521470309443	32.347735145632974	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4587786343359499E-5	1.4587786343359499E-5	-13991.521470309443	0.0	-8.254443646924734
37000	-13997.34381360644	-6.5300356155203225	-13990.81377799092	48.37197991946393	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2156205886015339E-5	1.2156205886015339E-5	-13990.81377799092	0.0	-9.741060328286611
38000	-13999.451389940985	-3.9955716021585266	-13995.455818338827	16.39069484739905	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.4556896449895323E-5	1.4556896449895323E-5	-13995.455818338827	0.0	-6.594429841567364
39000	-13995.593004721482	-3.99940144675931	-13991.593603274723	13.022566290783919	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.584241042073752E-5	3.584241042073752E-5	-13991.593603274723	0.0	-6.016615480865581
