name	haplotype number	year	culture_adapted	DISCO	ADCL_35	ADCL_40	ADCL_45	ADCL_35_lab	ADCL_40_lab	ADCL_45_lab	SET_35_v1	SET_40_v1	SET_45_v1
Th037.08	294	2008	0	0	0	0	0				000	000	000
Th037.09	357	2009	0	0	0	0	0				000	000	000
Th038.06	118	2006	0	0	0	0	0				000	000	000
Th038.07	44	2007	0	0	0	0	0				000	000	000
Th038.10	8	2010	0	0	0	0	0				000	000	000
Th038.12	16	2012	0	0	0	0	0				000	000	000
Th038.13	586	2013	0	0	0	0	0				000	000	000
Th039.07	40	2007	0	0	0	0	0				000	000	000
Th039.11	455	2011	0	0	0	0	0				000	000	000
Th039.12	71	2012	0	0	0	0	0				000	000	000
Th039.13	587	2013	0	0	0	0	0				000	000	000
Th040.07	206	2007	0	0	0	0	0				000	000	000
Th040.11	7	2011	0	0	1	1	1	Th040.11	Th040.11	Th040.11	001	001	001
Th040.12	495	2012	0	0	0	0	0				000	000	000
Th040.13	588	2013	0	0	0	0	0				000	000	000
Th041.11	456	2011	0	0	0	0	0				000	000	000
Th041.13	98	2013	0	0	0	0	0				000	000	000
Th042.08	51	2008	0	0	0	0	0				000	000	000
Th042.09	358	2009	0	0	0	0	0				000	000	000
Th042.12	496	2012	0	0	0	0	0				000	000	000
Th042.13	589	2013	0	0	0	0	0				000	000	000
Th043.12	16	2012	0	0	0	0	0				000	000	000
Th043.13	590	2013	0	0	0	0	0				000	000	000
Th044.08	52	2008	0	0	0	0	0				000	000	000
Th044.10	412	2010	0	0	0	0	0				000	000	000
Th044.13	14	2013	0	0	0	0	0				000	000	000
Th045.07	207	2007	0	0	0	0	0				000	000	000
Th045.09	359	2009	0	0	0	1	0		Th045.09		000	001	000
Th045.10	413	2010	0	0	0	0	0				000	000	000
Th045.11	457	2011	0	0	0	0	0				000	000	000
Th046.07	208	2007	0	0	0	0	0				000	000	000
Th046.09	360	2009	0	0	0	0	0				000	000	000
Th046.10	414	2010	0	0	0	0	0				000	000	000
Th046.11	458	2011	0	0	0	0	0				000	000	000
Th046.12	497	2012	0	0	0	0	0				000	000	000
Th046.13	591	2013	0	0	0	0	1			Th046.13	000	000	001
Th047.06	119	2006	0	0	0	0	0				000	000	000
Th047.07	44	2007	0	0	0	0	0				000	000	000
Th047.09	361	2009	0	0	0	0	0				000	000	000
Th047.11	18	2011	0	0	0	0	0				000	000	000
Th047.13	592	2013	0	0	0	0	0				000	000	000
Th048.07	209	2007	0	0	0	0	0				000	000	000
Th048.10	11	2010	0	0	0	0	0				000	000	000
Th048.11	18	2011	0	0	0	0	0				000	000	000
Th048.13	593	2013	0	0	0	0	0				000	000	000
Th049.07	210	2007	0	0	0	0	0				000	000	000
Th049.10	11	2010	0	0	0	0	0				000	000	000
Th049.13	594	2013	0	0	0	0	0				000	000	000
Th050.07	211	2007	0	0	0	0	0				000	000	000
Th050.10	11	2010	0	0	0	0	0				000	000	000
Th050.11	18	2011	0	0	0	0	0				000	000	000
Th050.13	21	2013	0	0	0	0	0				000	000	000
Th051.07	212	2007	0	0	0	0	0				000	000	000
Th051.13	24	2013	1	0	0	0	0				100	100	100
Th052.06	120	2006	0	0	0	0	0				000	000	000
Th052.07	213	2007	0	0	0	0	0				000	000	000
Th052.11	459	2011	0	0	0	0	0				000	000	000
Th052.13	595	2013	0	0	0	0	0				000	000	000
Th053.06	121	2006	0	0	0	0	0				000	000	000
Th053.07	214	2007	0	0	0	0	0				000	000	000
Th053.09	362	2009	0	0	0	0	0				000	000	000
Th053.11	68	2011	0	0	0	0	0				000	000	000
Th053.13	596	2013	0	0	0	0	0				000	000	000
Th054.07	215	2007	0	0	0	0	0				000	000	000
Th054.09	363	2009	0	0	0	0	0				000	000	000
Th054.11	29	2011	0	0	0	0	0				000	000	000
Th054.12	29	2012	0	0	0	0	0				000	000	000
Th055.06	122	2006	0	0	0	0	0				000	000	000
Th055.11	69	2011	0	0	0	0	0				000	000	000
Th055.12	12	2012	0	0	0	0	0				000	000	000
Th056.06	123	2006	0	0	0	0	0				000	000	000
Th056.09	58	2009	0	0	0	0	0				000	000	000
Th056.13	597	2013	0	0	0	0	0				000	000	000
